phecode,phecode_string,category,category_num
ID_001,Salmonella,Infections,1
ID_002,Staphylococcus,Infections,1
ID_002.1,Staphylococcus aureus,Infections,1
ID_003,Escherichia coli,Infections,1
ID_004,Streptococcus,Infections,1
ID_004.1,Streptococcus pneumoniae,Infections,1
ID_004.2,Group A Streptococcus,Infections,1
ID_004.3,Group B Streptococcus,Infections,1
ID_004.4,Scarlet fever,Infections,1
ID_005,Mycobacteria,Infections,1
ID_005.1,Mycobacterium tuberculosis,Infections,1
ID_005.2,Disseminated mycobacterium avium-intracellulare complex (DMAC),Infections,1
ID_005.3,Mycobacterium leprae [Leprosy],Infections,1
ID_006,Neisseria,Infections,1
ID_006.1,Neisseria meningitidis,Infections,1
ID_006.2,Neisseria gonorrhea,Infections,1
ID_007,Hemophilus infection,Infections,1
ID_007.1,Hemophilus influenzae,Infections,1
ID_007.2,Haemophilus ducreyi,Infections,1
ID_008,Helicobacter [H. pylori],Infections,1
ID_009,Pseudomonas,Infections,1
ID_010,Corynebacterium,Infections,1
ID_010.1,Corynebacterium diphtheriae,Infections,1
ID_011,Klebsiella,Infections,1
ID_012,Proteus,Infections,1
ID_013,Mycoplasma,Infections,1
ID_014,Bacteroides fragilis,Infections,1
ID_015,Clostridium,Infections,1
ID_015.1,Clostridium perfringens,Infections,1
ID_015.2,Clostridium difficile,Infections,1
ID_015.3,Clostridium botulinum,Infections,1
ID_016,Chlamydia,Infections,1
ID_016.1,Chlamydia trachomatis,Infections,1
ID_016.2,Chlamydia psittaci,Infections,1
ID_017,Bartonellosis,Infections,1
ID_018,Serratia,Infections,1
ID_019.1,Treponema pallidum [syphilis],Infections,1
ID_019.2,Treponema carateum,Infections,1
ID_020,Borrelia,Infections,1
ID_020.1,Lyme disease,Infections,1
ID_021,Rickettsia,Infections,1
ID_021.2,Spotted fever,Infections,1
ID_022,Ehrlichiosis,Infections,1
ID_023,Vibrio,Infections,1
ID_024,Pertussis,Infections,1
ID_025,Enterococcus,Infections,1
ID_026,Actinomyces and Nocardia,Infections,1
ID_027,Shigella,Infections,1
ID_028,Bacillus,Infections,1
ID_029,Leptospira,Infections,1
ID_030,Campylobacter,Infections,1
ID_031,Listeria,Infections,1
ID_032,Yersinia,Infections,1
ID_033,Francisella,Infections,1
ID_034,Brucella,Infections,1
ID_035,Burkholderia,Infections,1
ID_036,Spirillum,Infections,1
ID_037,Streptobacillus,Infections,1
ID_038,Erysipelothrix,Infections,1
ID_039,Pasteurella,Infections,1
ID_040,Legionella,Infections,1
ID_041,Coxiella,Infections,1
ID_042,Tropheryma,Infections,1
ID_050,Enterovirus,Infections,1
ID_050.1,Poliovirus,Infections,1
ID_050.2,Coxsackie virus,Infections,1
ID_050.3,ECHO virus,Infections,1
ID_050.4,"Hand, foot, and mouth disease",Infections,1
ID_050.5,Enteroviral vesicular pharyngitis,Infections,1
ID_050.6,Rhinovirus,Infections,1
ID_052,Herpesvirus,Infections,1
ID_052.1,Herpes simplex,Infections,1
ID_052.31,Varicella [chickenpox],Infections,1
ID_052.32,Herpes zoster,Infections,1
ID_052.4,Infectious mononucleosis,Infections,1
ID_052.5,Cytomegalovirus [CMV],Infections,1
ID_052.6,Human herpesvirus 6,Infections,1
ID_052.7,Human herpesvirus 7,Infections,1
ID_053,Parvovirus,Infections,1
ID_054,Hepatovirus,Infections,1
ID_054.1,Hepatitis A,Infections,1
ID_054.2,Hepatitis B,Infections,1
ID_054.21,Hepatitis B with delta,Infections,1
ID_054.3,Hepatitis C,Infections,1
ID_054.31,Chronic hepatitis C,Infections,1
ID_054.32,Acute hepatitis C,Infections,1
ID_054.5,Hepatitis E,Infections,1
ID_055,Poxvirus,Infections,1
ID_055.1,Molluscum contagiosum,Infections,1
ID_056,Human papillomavirus,Infections,1
ID_056.1,Plantar wart,Infections,1
ID_056.2,Anogenital (venereal) warts,Infections,1
ID_057,Retrovirus,Infections,1
ID_057.1,Human immunodeficiency virus,Infections,1
ID_057.2,Human T-cell lymphotropic virus type 1,Infections,1
ID_058.1,Respiratory syncytial virus,Infections,1
ID_058.2,Human metapneumovirus,Infections,1
ID_059,Coronavirus,Infections,1
ID_059.1,Sars-CoV-2,Infections,1
ID_060,Adenovirus,Infections,1
ID_061,Influenza virus,Infections,1
ID_061.1,Influenza A virus,Infections,1
ID_062,Parainfluenza virus,Infections,1
ID_063,Rotavirus,Infections,1
ID_064,Norovirus,Infections,1
ID_065,Measles virus,Infections,1
ID_066,Orthorubulavirus [Mumps],Infections,1
ID_067,Rubella,Infections,1
ID_068,Dengue virus,Infections,1
ID_068.1,Dengue hemorrhagic fever,Infections,1
ID_069,Other specified viral infections,Infections,1
ID_070,Candidiasis,Infections,1
ID_070.4,Disseminated candidiasis,Infections,1
ID_071,Coccidioides,Infections,1
ID_072,Histoplasmosis,Infections,1
ID_073,Blastomyces,Infections,1
ID_074,Aspergillosis,Infections,1
ID_075,Cryptococcosis,Infections,1
ID_076,Pneumocystosis,Infections,1
ID_078,Zygomycosis,Infections,1
ID_079,Other specified fungal infections,Infections,1
ID_084,Parasites,Infections,1
ID_084.1,Amebiasis,Infections,1
ID_084.2,Plasmodium [Malaria],Infections,1
ID_084.3,Leishmaniasis [Leishmania],Infections,1
ID_084.31,Visceral leishmaniasis,Infections,1
ID_084.32,Cutaneous leishmaniasis,Infections,1
ID_084.4,Trichomoniasis,Infections,1
ID_084.5,Toxoplasmosis,Infections,1
ID_084.6,Enterobiasis,Infections,1
ID_084.7,Giardiasis,Infections,1
ID_084.8,Cryptosporidiosis,Infections,1
ID_086,"Pediculosis, acariasis and other infestations",Infections,1
ID_086.1,Pediculosis,Infections,1
ID_086.2,Scabies,Infections,1
ID_087,Infectious prions,Infections,1
ID_088,Sexually transmitted disease,Infections,1
ID_089,Infections,Infections,1
ID_089.1,Bacterial infections,Infections,1
ID_089.2,Viral infections,Infections,1
ID_089.3,Fungal infections,Infections,1
ID_091,Gangrene,Infections,1
ID_092.1,Systemic inflammatory response syndrome,Infections,1
ID_092.2,Sepsis,Infections,1
ID_092.3,Meningococcemia,Infections,1
ID_092.5,Toxic shock syndrome,Infections,1
ID_092.8,Bacteremia,Infections,1
ID_097,Drug resistant microorganisms,Infections,1
ID_097.1,Methicillin resistant Staphylococcus aureus,Infections,1
ID_097.2,Resistance to penicillins,Infections,1
ID_097.3,Resistance to beta lactam antibiotics,Infections,1
CA_100,Malignant neoplasm of the head and neck,Neoplasms,2
CA_100.1,Malignant neoplasm of the oral cavity,Neoplasms,2
CA_100.12,Malignant neoplasm of the tongue,Neoplasms,2
CA_100.13,Malignant neoplasm of the gums,Neoplasms,2
CA_100.14,Malignant neoplasm of the floor of mouth,Neoplasms,2
CA_100.15,Malignant neoplasm of the palate,Neoplasms,2
CA_100.2,Malignant neoplasm of the oropharynx,Neoplasms,2
CA_100.3,Malignant neoplasm of the nasopharynx,Neoplasms,2
CA_100.4,Malignant neoplasm of the hypopharynx,Neoplasms,2
CA_100.5,"Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses",Neoplasms,2
CA_100.6,Malignant neoplasm of the larynx,Neoplasms,2
CA_100.7,Malignant neoplasm of the pharynx,Neoplasms,2
CA_100.8,Malignant neoplasm of the lip,Neoplasms,2
CA_100.9,Malignant neoplasm of the salivary glands,Neoplasms,2
CA_101,Malignant neoplasm of the digestive organs,Neoplasms,2
CA_101.1,Malignant neoplasm of the esophagus,Neoplasms,2
CA_101.2,Malignant neoplasm of stomach,Neoplasms,2
CA_101.21,Malignant neoplasm of cardia,Neoplasms,2
CA_101.3,Malignant neoplasm of the small intestine,Neoplasms,2
CA_101.4,Malignant neoplasm of the lower GI tract,Neoplasms,2
CA_101.41,Colorectal cancer,Neoplasms,2
CA_101.411,Malignant neoplasm of colon,Neoplasms,2
CA_101.412,Malignant neoplasm of appendix,Neoplasms,2
CA_101.42,Malignant neoplasm of anus,Neoplasms,2
CA_101.6,Malignant neoplasm of the liver and intrahepatic bile ducts,Neoplasms,2
CA_101.61,Malignant neoplasm of the liver,Neoplasms,2
CA_101.62,Malignant neoplasm of the intrahepatic bile ducts,Neoplasms,2
CA_101.7,Malignant neoplasm of the gallbladder and extrahepatic bile ducts,Neoplasms,2
CA_101.71,Malignant neoplasm of the gallbladder,Neoplasms,2
CA_101.8,Malignant neoplasm of the pancreas,Neoplasms,2
CA_102,Malignant neoplasm of the thoracic and respiratory organs,Neoplasms,2
CA_102.1,Malignant neoplasm of the of bronchus and lung,Neoplasms,2
CA_102.3,Malignant neoplasm of the trachea,Neoplasms,2
